park_name,name,lat,lon,description,fee_aud,pet_allowed,bookable,amenities
Blue Mountains National Park,Echo Point Lookout,-33.7317,150.3014,Stunning views of the Three Sisters rock formation,0,false,false,""
Blue Mountains National Park,Katoomba Falls,-33.7123,150.2987,Beautiful waterfall with picnic area,0,false,false,"BBQ;Water"
Blue Mountains National Park,Leura Cascades,-33.7156,150.3256,Scenic cascades with walking tracks,0,false,false,"BBQ;Toilets;Water"
Royal National Park,Wattamolla Beach,-34.1314,151.1234,Popular beach with lagoon and picnic area,12,false,true,"BBQ;Toilets;Water;Shelter"
Royal National Park,Garie Beach,-34.1456,151.0987,Remote beach with basic facilities,8,false,true,"BBQ;Toilets"
Royal National Park,Bundeena,-34.0987,151.1456,Family-friendly beach with amenities,15,true,true,"BBQ;Toilets;Water;Shelter;Power"
Kosciuszko National Park,Thredbo Village,-36.5012,148.3012,Alpine village with full facilities,25,false,true,"BBQ;Toilets;Water;Shelter;Power"
Kosciuszko National Park,Charlotte Pass,-36.4321,148.3212,High altitude camping area,20,false,true,"BBQ;Toilets;Water"
Kosciuszko National Park,Perisher Valley,-36.4012,148.4012,Ski resort with camping facilities,30,false,true,"BBQ;Toilets;Water;Shelter;Power"
Grampians National Park,Halls Gap,-37.1456,142.5234,Main tourist hub with all amenities,18,true,true,"BBQ;Toilets;Water;Shelter;Power"
Grampians National Park,Brambuk Cultural Centre,-37.1234,142.5456,Cultural site with camping,15,false,true,"BBQ;Toilets;Water;Shelter"
Grampians National Park,Mackenzie Falls,-37.0987,142.5678,Scenic waterfall camping,12,false,false,"BBQ;Toilets;Water"
Great Otway National Park,Cape Otway,-38.8456,143.5123,Historic lighthouse with camping,22,false,true,"BBQ;Toilets;Water;Shelter"
Great Otway National Park,Apollo Bay,-38.7567,143.6789,Coastal town with beach camping,20,true,true,"BBQ;Toilets;Water;Shelter;Power"
Great Otway National Park,Lorne,-38.5432,143.9876,Popular beach destination,25,true,true,"BBQ;Toilets;Water;Shelter;Power"
Wilsons Promontory National Park,Tidal River,-39.0123,146.3456,Main camping area with full facilities,28,false,true,"BBQ;Toilets;Water;Shelter;Power"
Wilsons Promontory National Park,Oberon Bay,-39.0234,146.3567,Remote beach camping,15,false,false,"BBQ;Toilets"
Wilsons Promontory National Park,Sealers Cove,-39.0345,146.3678,Wilderness camping experience,12,false,false,""
Lamington National Park,O'Reilly's,-28.2345,153.1234,Historic mountain retreat,35,false,true,"BBQ;Toilets;Water;Shelter;Power"
Lamington National Park,Green Mountains,-28.2456,153.1345,Alpine camping with views,30,false,true,"BBQ;Toilets;Water;Shelter"
Lamington National Park,Binna Burra,-28.2567,153.1456,Heritage-listed mountain lodge,32,false,true,"BBQ;Toilets;Water;Shelter;Power"
Springbrook National Park,Natural Bridge,-28.1987,153.2567,Glow worm cave camping,18,false,false,"BBQ;Toilets;Water"
Springbrook National Park,Purling Brook Falls,-28.1876,153.2678,Waterfall camping area,15,false,false,"BBQ;Toilets;Water;Shelter"
Springbrook National Park,Best of All Lookout,-28.1765,153.2789,Scenic lookout camping,12,false,false,"BBQ;Toilets"
Daintree National Park,Cape Tribulation,-16.0789,145.4567,Tropical rainforest camping,25,false,true,"BBQ;Toilets;Water;Shelter"
Daintree National Park,Mossman Gorge,-16.4567,145.3456,Indigenous cultural site,20,false,true,"BBQ;Toilets;Water;Shelter;Power"
Daintree National Park,Daintree Village,-16.2345,145.2345,River camping with boat access,18,true,true,"BBQ;Toilets;Water;Shelter"
Margaret River Region,Prevelly Beach,-33.9876,114.9876,Surf beach camping,22,true,true,"BBQ;Toilets;Water;Shelter;Power"
Margaret River Region,Conto Beach,-33.8765,114.8765,Remote beach camping,15,false,false,"BBQ;Toilets;Water"
Margaret River Region,Boranup Forest,-33.7654,114.7654,Forest camping experience,18,false,true,"BBQ;Toilets;Water;Shelter"
Pemberton Karri Forest,Gloucester Tree,-34.4567,116.0123,Historic fire lookout camping,20,false,true,"BBQ;Toilets;Water;Shelter"
Pemberton Karri Forest,Big Brook Dam,-34.4456,116.0234,Lake camping with fishing,16,true,true,"BBQ;Toilets;Water;Shelter;Power"
Pemberton Karri Forest,Warren National Park,-34.4345,116.0345,Tall tree camping,14,false,false,"BBQ;Toilets;Water"
Fitzgerald River National Park,Quoin Head,-33.9876,119.8765,Coastal wilderness camping,12,false,false,"BBQ;Toilets"
Fitzgerald River National Park,Point Ann,-33.8765,119.7654,Whale watching camping,15,false,false,"BBQ;Toilets;Water"
Fitzgerald River National Park,Four Mile Beach,-33.7654,119.6543,Remote beach camping,10,false,false,""
Flinders Ranges National Park,Wilpena Pound,-31.5432,138.6543,Iconic outback camping,30,false,true,"BBQ;Toilets;Water;Shelter;Power"
Flinders Ranges National Park,Bunyeroo Gorge,-31.4321,138.5432,Scenic gorge camping,25,false,true,"BBQ;Toilets;Water;Shelter"
Flinders Ranges National Park,Brachina Gorge,-31.3210,138.4321,Geological wonder camping,22,false,true,"BBQ;Toilets;Water"
Kangaroo Island,Vivonne Bay,-35.9876,137.1234,Beach camping with fishing,28,true,true,"BBQ;Toilets;Water;Shelter;Power"
Kangaroo Island,Stokes Bay,-35.8765,137.2345,Family beach camping,25,true,true,"BBQ;Toilets;Water;Shelter"
Kangaroo Island,American River,-35.7654,137.3456,Historic whaling town,20,true,true,"BBQ;Toilets;Water;Shelter;Power"
Cradle Mountain-Lake St Clair National Park,Dove Lake,-41.6543,145.9876,Alpine lake camping,35,false,true,"BBQ;Toilets;Water;Shelter;Power"
Cradle Mountain-Lake St Clair National Park,Waldheim,-41.5432,145.8765,Historic alpine camping,30,false,true,"BBQ;Toilets;Water;Shelter"
Cradle Mountain-Lake St Clair National Park,Lake St Clair,-42.0987,146.1234,Deepest lake in Australia,32,false,true,"BBQ;Toilets;Water;Shelter;Power"
Freycinet National Park,Wineglass Bay,-42.1234,148.2345,World-famous beach camping,40,false,true,"BBQ;Toilets;Water;Shelter;Power"
Freycinet National Park,Coles Bay,-42.0987,148.1987,Main camping area,35,false,true,"BBQ;Toilets;Water;Shelter;Power"
Freycinet National Park,Honeymoon Bay,-42.0765,148.1765,Secluded bay camping,30,false,true,"BBQ;Toilets;Water;Shelter"
Kakadu National Park,Ubirr,-12.4567,132.9876,Ancient rock art camping,25,false,true,"BBQ;Toilets;Water;Shelter"
Kakadu National Park,Jim Jim Falls,-13.2345,132.8765,Waterfall camping,30,false,true,"BBQ;Toilets;Water;Shelter;Power"
Kakadu National Park,Yellow Water,-12.3456,132.7654,Wetland camping with boat tours,28,false,true,"BBQ;Toilets;Water;Shelter;Power"
