name,region,authority,website_url
Blue Mountains National Park,NSW,NSW National Parks and Wildlife Service,https://www.nationalparks.nsw.gov.au/visit-a-park/parks/blue-mountains-national-park
Royal National Park,NSW,NSW National Parks and Wildlife Service,https://www.nationalparks.nsw.gov.au/visit-a-park/parks/royal-national-park
Kosciuszko National Park,NSW,NSW National Parks and Wildlife Service,https://www.nationalparks.nsw.gov.au/visit-a-park/parks/kosciuszko-national-park
Grampians National Park,VIC,Parks Victoria,https://www.parks.vic.gov.au/places-to-see/parks/grampians-national-park
Great Otway National Park,VIC,Parks Victoria,https://www.parks.vic.gov.au/places-to-see/parks/great-otway-national-park
Wilsons Promontory National Park,VIC,Parks Victoria,https://www.parks.vic.gov.au/places-to-see/parks/wilsons-promontory-national-park
Lamington National Park,QLD,Queensland Parks and Wildlife Service,https://parks.des.qld.gov.au/parks/lamington
Springbrook National Park,QLD,Queensland Parks and Wildlife Service,https://parks.des.qld.gov.au/parks/springbrook
Daintree National Park,QLD,Queensland Parks and Wildlife Service,https://parks.des.qld.gov.au/parks/daintree
Margaret River Region,WA,Department of Biodiversity Conservation and Attractions,https://parks.dpaw.wa.gov.au/park/margaret-river
Pemberton Karri Forest,WA,Department of Biodiversity Conservation and Attractions,https://parks.dpaw.wa.gov.au/park/pemberton-karri-forest
Fitzgerald River National Park,WA,Department of Biodiversity Conservation and Attractions,https://parks.dpaw.wa.gov.au/park/fitzgerald-river
Flinders Ranges National Park,SA,Department for Environment and Water,https://www.parks.sa.gov.au/parks/flinders-ranges-national-park
Kangaroo Island,SA,Department for Environment and Water,https://www.parks.sa.gov.au/parks/kangaroo-island
Cradle Mountain-Lake St Clair National Park,TAS,Tasmania Parks and Wildlife Service,https://parks.tas.gov.au/explore-our-parks/cradle-mountain
Freycinet National Park,TAS,Tasmania Parks and Wildlife Service,https://parks.tas.gov.au/explore-our-parks/freycinet-national-park
Kakadu National Park,NT,Parks Australia,https://parksaustralia.gov.au/kakadu/
Uluru-Kata Tjuta National Park,NT,Parks Australia,https://parksaustralia.gov.au/uluru/
Namadgi National Park,ACT,ACT Parks and Conservation Service,https://www.environment.act.gov.au/parks-conservation/parks-and-reserves/namadgi-national-park
